"Mis", "A213", "M225", "T223"
"Kellaaeg","2021/09/08 11:26:00","2021/09/09 12:30:00","2021/09/14 12:58:00"
"Inimesi ruumis",14,51,38
"Üldtingimused","kaks laeventikat mürisesid, 26 lauaarvutit mühisesid","projektor mühises","projektor mühises"
"Katse nr 1",38.299999999999997,42.399999999999999,46.899999999999999
"Katse nr 2",36.299999999999997,39.399999999999999,37
"Katse nr 3",37.700000000000003,43,45.399999999999999
"Katse nr 4",39.100000000000001,43.899999999999999,61.799999999999997
"Katse nr 5",37.5,39.700000000000003,31
"Katse nr 6",38,39.799999999999997,31.5
"Katse nr 7",39.299999999999997,44.200000000000003,50.5
"Katse nr 8",34.600000000000001,38.5,31.800000000000001
